Summary,Text,Class,Identifier,Court
" AGRAVO DE INSTRUMENTO. PLANO DE SAÚDE. Insurgência contra decisão que deferiu tutela de urgência para compelir a ré a fornecer o tratamento médico indicado ao autor.  Medicamento contínuo à base de Canabidiol, denominado ""Carmen's Medicinals Full Spectrum Cannabinoids"", cujo uso foi aprovado pela ANVISA (RDC nº 335/2020). Prova inequívoca, convincente da verossimilhança das alegações do agravado. Inteligência do artigo 300 do CPC. Inexistência de risco de irreversibilidade da medida. Decisão mantida. Agravo de instrumento não provido e embargos de declaração prejudicados. ",o prejudicados. ,Prejudicado,2200489-87.2021.8.26.0000,TJSP
" Habeas corpus. Alegação de ilegalidade da medida cautelar que proibiu contado entre o paciente e sua genitora que também é acusada do crime de peculato desvio. Juiz de primeiro grau que, ao tomar conhecimento de circunstância não apresentadas aos autos, antes, sobre a existência de filho menor do paciente, analisou a decisão acerca de medida cautelar antes aplicada e autorizou o contato entre o paciente e sua genitora. Ordem parcialmente prejudicada. ",te prejudicada. ,Prejudicado,2191332-90.2021.8.26.0000,TJSP
" APELAÇÃO CÍVEL –  Bem móvel –  Evicção –  Sentença de procedência, em parte –  Inconformismo das partes.Recurso da ré –  Pretensão de afastamento da condenação, por falta de provas de defeito no veículo que tenha sido a causa do acidente – Relação de Consumo – Situação, porém, em que a prova pericial afasta de modo claro o alegado travamento das rodas como causa do acidente, reputando, como causa mais provável, a perda do controle da direção pelo condutor – Impossibilidade de imputar à ré responsabilidade pela reparação dos danos ou devolução do valor pago nesse contexto – Sentença modificada para julgar improcedente a demanda, prejudicado o recurso adesivo destinado a majorar indenização por dano moral – Recurso da ré provido, prejudicado o adesivo. ","ão por dano moral – recurso da ré provido, prejudicado o adesivo. ",Prejudicado,0004462-96.2012.8.26.0028,TJSP
" Agravo de instrumento. Cumprimento de sentença. Recurso interposto contra decisão que determinou ao agravado, para fins de avaliação de imóvel, que comprovasse a cotação do bem no mercado a partir de declaração de corretores imobiliários. Inconformismo. Pretensão recursal para determinação de avaliação do imóvel por perito. Avaliação por perito judicial já determinada após a propositura do presente recurso. Perda superveniente do objeto caracterizada. Recurso prejudicado. ",so prejudicado. ,Prejudicado,2150389-31.2021.8.26.0000,TJSP
" EMBARGOS À EXECUÇÃO. Título executivo extrajudicial. Cédula de Crédito Rural com garantia pignoratícia e hipotecária. Devedor em recuperação judicial. Indeferido o pedido de efeito suspensivo da execução. Homologado plano de recuperação judicial. Execução proposta após o pedido de recuperação. Agravante não comprovou que o crédito exequendo foi abrangido nesse processo. Garantia do juízo. Penhor e hipoteca instituídos a favor do credor para facilitar a realização do crédito, e somente ele pode invocá-los. Decisão mantida.RECURSO DESPROVIDO.Prejudicado o Agravo Interno interposto contra decisão que indeferiu a liminar pleiteada. ","provou que o crédito exequendo foi abrangido nesse processo. garantia do juízo. penhor e hipoteca instituídos a favor do credor para facilitar a realização do crédito, e somente ele pode invocá-los. decisão mantida.recurso desprovido.prejudicado o agravo interno interposto contra decisão que indeferiu a liminar pleiteada. ",Prejudicado,2053773-91.2021.8.26.0000,TJSP
" EMBARGOS À EXECUÇÃO. Título executivo extrajudicial. Cédula de Crédito Rural com garantia pignoratícia e hipotecária. Devedor em recuperação judicial. Indeferido o pedido de efeito suspensivo da execução. Homologado plano de recuperação judicial. Execução proposta após o pedido de recuperação. Agravante não comprovou que o crédito exequendo foi abrangido nesse processo. Garantia do juízo. Penhor e hipoteca instituídos a favor do credor para facilitar a realização do crédito, e somente ele pode invocá-los. Decisão mantida.RECURSO DESPROVIDO.Prejudicado o Agravo Interno interposto contra decisão que indeferiu a liminar pleiteada. ","provou que o crédito exequendo foi abrangido nesse processo. garantia do juízo. penhor e hipoteca instituídos a favor do credor para facilitar a realização do crédito, e somente ele pode invocá-los. decisão mantida.recurso desprovido.prejudicado o agravo interno interposto contra decisão que indeferiu a liminar pleiteada. ",Prejudicado,2053773-91.2021.8.26.0000,TJSP
" EXECUÇÃO DE TÍTULO EXTRAJUDICIAL. PENHORA DE PRÓ-LABORE. AGRAVO DE INSTRUMENTO DO EXECUTADO.VERBA DA NATUREZA SALARIAL. IMPENHORABILIDADE, EXCETO PARA PAGAMENTO DE ALIMENTOS OU EM CASO DE QUANTIA SUPERIOR A 50 SALÁRIOS MÍNIMOS. APLICABILIDADE DO ARTIGO 833, IV, E §2º, DO NCPC. PRECEDENTES DA CÂMARA SOBRE A MATÉRIA. DECISÃO REFORMADA. RECURSO PROVIDO.EMBARGOS DE DECLARAÇÃO CONTRA DECISÃO QUE CONCEDEU O EFEITO SUSPENSIVO PREJUDICADOS, DIANTE DA PERDA SUPERVENIENTE DO OBJETO.  ","to suspensivo prejudicados, diante da perda superveniente do objeto.  ",Prejudicado,2146120-46.2021.8.26.0000,TJSP
" EXECUÇÃO DE TÍTULO EXTRAJUDICIAL. PENHORA DE PRÓ-LABORE. AGRAVO DE INSTRUMENTO DO EXECUTADO.VERBA DA NATUREZA SALARIAL. IMPENHORABILIDADE, EXCETO PARA PAGAMENTO DE ALIMENTOS OU EM CASO DE QUANTIA SUPERIOR A 50 SALÁRIOS MÍNIMOS. APLICABILIDADE DO ARTIGO 833, IV, E §2º, DO NCPC. PRECEDENTES DA CÂMARA SOBRE A MATÉRIA. DECISÃO REFORMADA. RECURSO PROVIDO.EMBARGOS DE DECLARAÇÃO CONTRA DECISÃO QUE CONCEDEU O EFEITO SUSPENSIVO PREJUDICADOS, DIANTE DA PERDA SUPERVENIENTE DO OBJETO.  ","to suspensivo prejudicados, diante da perda superveniente do objeto.  ",Prejudicado,2146120-46.2021.8.26.0000,TJSP
" EXECUÇÃO DE TÍTULO EXTRAJUDICIAL. PENHORA DE PRÓ-LABORE. AGRAVO DE INSTRUMENTO DO EXECUTADO.VERBA DA NATUREZA SALARIAL. IMPENHORABILIDADE, EXCETO PARA PAGAMENTO DE ALIMENTOS OU EM CASO DE QUANTIA SUPERIOR A 50 SALÁRIOS MÍNIMOS. APLICABILIDADE DO ARTIGO 833, IV, E §2º, DO NCPC. PRECEDENTES DA CÂMARA SOBRE A MATÉRIA. DECISÃO REFORMADA. RECURSO PROVIDO.EMBARGOS DE DECLARAÇÃO CONTRA DECISÃO QUE CONCEDEU O EFEITO SUSPENSIVO PREJUDICADOS, DIANTE DA PERDA SUPERVENIENTE DO OBJETO.  ","to suspensivo prejudicados, diante da perda superveniente do objeto.  ",Prejudicado,2146120-46.2021.8.26.0000,TJSP
" EXECUÇÃO POR QUANTIA CERTA CONTRA DEVEDOR SOLVENTE –  BLOQUEIO DE ATIVOS FINANCEIROS POR MEIO DO SISTEMA BACENJUD –  AGRAVO DE INSTRUMENTO- Irresignação da coexecutada Jeannine –  Alegação de que a sua impugnação não foi apreciada –  Não acolhimento –  A impugnação à penhora não incluiu o valor de R$ 1.718,99, bloqueado na conta de Jeannine –  Manutenção da constrição por ausência de irresignação –  Decisão mantida.- Irresignação da coexecutada Inez - Penhora de dinheiro depositado em aplicação financeira (CDB) - Possibilidade - Ausência da proteção prevista no artigo 833 do CPC, porquanto inexistente o caráter alimentar –  Não comprovação de que o valor de R$ 5.183,64 é oriundo de pró-labore ou aposentadoria –  Decisão mantida.- Irresignação da empresa executada com relação à decisão que rejeitou a penhora, mantendo a constrição do valor de R$ 8.900,49 - Bloqueio de ativos financeiros via sistema BacenJud –  Executada que sustenta que a penhora de dinheiro causaria grande impacto nas suas finanças –  É equivocado o entendimento de que a regra do artigo 805 do CPC, que assegura execução menos gravosa para a devedora, transfira para a credora o gravame de eventual execução morosa e dificultosa –  Princípio da efetividade da execução –  Ordem legal de preferência do art. 835 do CPC que elege o dinheiro como primeiro bem a ser constrito –  Decisão mantida.- Irresignação do coexecutado Marcelo com relação à decisão que rejeitou a impugnação à penhora, mantendo a constrição do valor de R$ 53,25 localizado por meio do sistema Sisbajud –  Alegação de que o valor é ínfimo e, por isso, deve ser desbloqueado, nos termos do art. 836 do CPC –  Não acolhimento - Os valores obtidos em penhora, em importância irrisória ou abaixo do crédito em execução, servem à somatória necessária pela qual o Estado-juiz busca atender o postulado da parte credora - A penhora a que não se dá efeito é aquela em que o produto da execução dos bens encontrados venha a ser totalmente absorvido pelo pagamento das custas de se levar a termo sua venda em execução –  Precedente do STJ –  Decisão mantida.Recurso não provido. Agravo interno prejudicado. ",no prejudicado. ,Prejudicado,2202155-26.2021.8.26.0000,TJSP
