Summary,Text,Class,Identifier,Court
" PRESTAÇÃO DE SERVIÇOS DE TELEFONIA /TELECOMUNICAÇÕES –  AÇÃO DE INEXIGIBILIDADE DE MULTA CONTRATUAL - Incidência da legislação consumerista na relação contratual –  Plano de telefonia corporativa com cláusula de permanência - Nulidade –  Descabimento –  Abusividade não demonstrada –  Multa contratual que deve ser proporcional ao valor do benefício e ao tempo restante para o término do prazo de permanência - Ação procedente –  Recurso desprovido, com observação. ","ência - ação procedente –  recurso desprovido, com observação. ",Improcedente,1016316-91.2020.8.26.0577,TJSP
" COMPETÊNCIA RECURSAL –  RESPONSABILIDADE CIVIL EXTRACONTRATUAL –  TÍTULO EXECUTIVO EXTRAJUDICIAL  - AÇÃO DECLARATÓRIA DE INEXIGIBILIDADE DE DÉBITO - Ação que versa sobre título executivo extrajudicial e inexigibilidade de sua cobrança - Matéria inserida na competência da Segunda Subseção de Direito Privado deste e. Tribunal - Art. 5º, II.3 da Resolução n° 623/2013 - Recurso não conhecido, com determinação de redistribuição. ","013 - recurso não conhecido, com determinação de redistribuição. ",Improcedente,1010393-89.2019.8.26.0037,TJSP
" BEM IMÓVEL –  COMPROMISSO DE COMPRA E VENDA –  AÇÃO COMINATÓRIA C.C. PERDAS E DANOS E RESTITUIÇÃO DE VALORES - Lote - Legitimidade de parte passiva - Responsabilidade solidária –  Incorporadora e vendedora - Atraso na entrega –  Descumprimento contratual –  Multa –  Imposição –  Possibilidade –  IPTU –  Responsabilidade –  Compromissário comprador –  Imissão na posse –  Ação procedente –  Recurso desprovido, com observação.  ","se –  ação procedente –  recurso desprovido, com observação.  ",Improcedente,1001317-69.2020.8.26.0372,TJSP
" RECURSO DE APELAÇÃO AÇÃO ANULATÓRIA. CONSUMIDOR. HIGIDEZ DO PROCEDIMENTO ADMINISTRATIVO. INFRAÇÃO CARACTERIZADA. MULTA. PROPORCIONALIDADE E RAZOABILIDADE OBSERVADAS. 1. Trata-se de ação anulatória de auto de infração junto ao PROCON do qual resultou a aplicação de multa em razão de infração aos direitos do consumidor, com pedido subsidiário de redução do valor da multa. Os pedidos foram julgados improcedentes e contra a r. sentença foi interposto recurso de apelação.2. Auto de infração e procedimento administrativo hígidos, incólume de vícios que poderiam fulminá-los. 3. Matéria fática devidamente analisada pelo r. Juízo ""a quo"" e isenta de reforma por este Segundo Grau de jurisdição.4. Multa. Multa aplicada de acordo com os parâmetros estabelecidos pelo art. 57 do CDC e pela Portaria PROCON 26/06 e 33/09. Ausência de violação aos princípios da razoabilidade e proporcionalidade.5. Honorários recursais. Conforme a jurisprudência do C. Superior Tribunal de Justiça, da interpretação do dispositivo extraem-se três requisitos para fixação de honorários em sede recursal: a) decisão publicada na vigência do CPC; b) recurso não conhecido ou não provido integralmente; c) condenação em honorários desde a origem. Nos termos do artigo 85, §§1º e 11 do Código de Processo Civil, são devidos honorários na fase recursal.Recurso desprovido. ",rso desprovido. ,Improcedente,1028491-16.2015.8.26.0053,TJSP
" RECURSOS DE APELAÇÃO –  IMPROBIDADE ADMINISTRATIVA –  DIRECIONAMENTO DE PROCEDIMENTO LICITATÓRIO 1. Apelam as partes da r. sentença por meio da qual o D. Magistrado a quo, em ação de responsabilidade civil por atos de improbidade administrativa ajuizada pelo Ministério Público, acolheu em parte os pedidos da demanda, a fim de reconhecer que o Prefeito de Bocaina à época dos fatos e o então Diretor Municipal de Cultura concorreram dolosamente para a contratação ilegal de empresário individual, mediante a simulação de competitividade no pregão presencial n. 08/2013, destinado à locação de equipamentos de som e projetores multimídia. Desate de primeiro grau que impôs a 3 dos 7 requeridos as penas previstas na LIA e declarou a nulidade do contrato decorrente do pregão 08/2013.2. Recurso dos requeridos: de rigor a manutenção da nulidade da contratação e a condenação dos 3 apelantes (dois agentes públicos e o empresário favorecido) ante o robusto conjunto probatório amealhado nos autos evidenciado a prática de atos ímprobos voltados para o direcionamento do Pregão n. 08/2013 a fim de favorecer empresário conluiado com agentes públicos.3. Recurso ministerial: inexistência de prova hábil a embasar de forma segura a condenação dos requeridos absolvidos na r. sentença. Necessidade de ressarcimento do erário que não foi cabalmente comprovada nos autos, ao contrário, vislumbra-se a inexistência de superfaturamento no caso concreto. Mantença da r. sentença. Recursos desprovidos. ",os desprovidos. ,Improcedente,4005073-95.2013.8.26.0302,TJSP
" Apelação Cível – Ação Anulatória de Ato Administrativo – Auto de infração lavrado pelo PROCON – Sentença de improcedência – Recursos pelas partes.1. Regularidade do procedimento administrativo - Ilícito devidamente caracterizado –  Aplicabilidade da multa, prevista nos artigos 56 e 57 do CDC e Portaria PROCON –  Comporta parcial provimento ao recurso da autora no tocante à redução da para multa aplicada posto ser indevida a consideração do faturamento total da autora em escala nacional. Aplicação do artigo 57, parágrafo único do CDC.2. Honorários advocatícios cujo arbitramento deve observar equidade e moderação na forma prevista no §§ 2º e 8º do art. 85 do novo CPC, mormente em se considerando a média complexidade da demanda e suas peculiaridades - Precedentes da Corte e do C. STJ –  Recurso do PROCON desprovido.3. Ônus de sucumbência recíproca (art. 86, do CPC).Sentença parcialmente reformada –  Recurso da autora parcialmente provido. Recurso do PROCON desprovido. ",con desprovido. ,Improcedente,1001317-16.2020.8.26.0228,TJSP
" Embargos de Declaração –  Rejeição de rigor –  Agravo de Instrumento - Acórdão embargado não possui qualquer contradição, omissão ou obscuridade a ser reparada –  Desnecessidade de esclarecimentos do julgado - Repercussão geral nº 793 que não exclui a solidariedade dos entes federados para cumprir a obrigação constitucionalmente garantida – Inexistência de nulidade - Caráter infringente dos embargos de declaração, estranho à sua função meramente integrativa do julgado –  Inteligência do art. 1.022 do CPC –  Eventual finalidade de prequestionamento que não enseja o provimento recursal –  Embargos declaratórios conhecidos, porém rejeitados. ",ém rejeitados. ,Improcedente,2012133-11.2021.8.26.0000,TJSP
" Apelação Cível –  Processual e Administrativo –  Demanda proposta pela FESP visando à restituição de valores de convênio pela não adequada prestação de contas –  Sentença de procedência –  Recurso pela entidade requerida –  Anulação da Sentença de rigor.1. A revelia, por si só, não acarreta procedência do pedido e nem afasta o exame de circunstâncias capazes de desconstituir os fatos alegados pela parte autora  - Como efeito da revelia a presunção de veracidade é apenas relativa –  No caso dos autos, em se tratando de pretensão voltada à restituição de valores pela suposta inadequação da prestação de contas forçoso reconhecer a necessidade de dilação probatória, notadamente pericial, a fim de permitir aferir, com exatidão, a procedência das alegações da parte autora.2. Impossibilidade de julgamento antecipado da lide –  Prejuízo configurado a acarretar vício insanável da r. Sentença que deve ser anulada –  Precedentes da Corte.Sentença anulada com determinação de retorno à Vara de origem para a adequada dilação probatória. ","do de pretensão voltada à restituição de valores pela suposta inadequação da prestação de contas forçoso reconhecer a necessidade de dilação probatória, notadamente pericial, a fim de permitir aferir, com exatidão, a procedência das alegações da parte autora.2. impossibilidade de julgamento antecipado da lide –  prejuízo configurado a acarretar vício insanável da r. sentença que deve ser anulada –  precedentes da corte.sentença anulada com determinação de retorno à vara de origem para a adequada dilação probatória. ",Improcedente,1020472-45.2020.8.26.0053,TJSP
" Apelação Cível –  Administrativo –  Ação Coletiva –  Sindicato dos Funcionários Públicos Municipais de Santo Antônio da Posse –  Pleito principal consistente no reconhecimento do direito à incorporação permanente do auxílio-alimentação aos vencimentos dos servidores, bem como reflexo sobre o quinquênio, horas extras, 1/3 constitucional e demais verbas salarias. Sentença de improcedência. Recurso do Sindicato –  Retorno dos autos para apreciação do mérito, após a decisão do C. Órgão Especial deste Tribunal de Justiça na arguição de inconstitucionalidade da lei complementar municipal fundamentadora da verba –  Manutenção da r. sentença. Desprovimento de rigor.Inaplicável a disciplina da Lei Complementar Municipal nº 009/2007 –  Inteligência havida no referido Incidente de Arguição de Inconstitucionalidade nº 0002240-30.2021.8.26.0000 julgado pelo C. Órgão Especial –  Declaração da inconstitucionalidade da expressão ""incorporando-o definitivamente após 12 meses"", bem como do parágrafo único, ambos do artigo 4º da Lei Complementar n° 009/2007, do Município de Santo Antônio de Posse pelo Órgão Especial deste TJSP. R. Sentença mantida –  Recurso desprovido. ",rso desprovido. ,Improcedente,1002210-65.2018.8.26.0296,TJSP
" Apelação Cível. Tributário. Mandado de Segurança. Impetração voltada à suspensão da exigibilidade dos recolhimentos de ICMS enquanto perdurar o estado de calamidade pública ou, no mínimo, por 180 dias. Sentença denegatória. Apelo da empresa impetrante –  Desprovimento de rigor. 1.Em que pese estarmos em meio à Pandemia da COVID-19 e incontroversos os efeitos dela decorrentes não há se falar em ofensa a direito liquido e certo da empresa em obter a suspensão pretendida. Moratória que depende de edição de lei própria pelo Estado de São Paulo, consoante inteligência dos artigos. 152 e seguintes do CTN. 2.De mesmo modo, como assentado em decisão do Ministro do Supremo Tribunal Federal DIAS TOFFOLI, nos autos da suspensão de segurança n. 5374 ""não cabe ao Poder Judiciário decidir quem deve ou não pagar impostos, ou mesmo quais políticas públicas devem ser adotadas, substituindo-se aos gestores responsáveis pela condução dos destinos do Estado, neste momento. Apenas eventuais ilegalidades ou violações à ordem constitucional vigente devem merecer sanção judicial, para a necessária correção de rumos, mas jamais repita-se promover-se a mudança das políticas adotadas"".3. Precedentes também desta Egrégia Corte. R. Sentença mantida - Apelação desprovida. ",ão desprovida. ,Improcedente,1021920-53.2020.8.26.0053,TJSP
