Summary,Text,Class,Identifier,Court
" RECURSO ESPECIAL –  REPERCUSSÃO GERAL –  JUÍZO DE READEQUAÇÃO –  ART. 1.040 DO CÓDIGO DE PROCESSO CIVIL. Consoante entendimento perfilhado pelo E. Superior Tribunal de Justiça no julgamento do REsp 1.495.146/mg (Tema nº 905), o art. 1º-F da Lei federal nº 9.494/97, com a redação dada pela Lei federal nº 11.960/09, para fins de correção monetária, não é aplicável nas condenações judiciais impostas à Fazenda Pública, independentemente de sua natureza. Juros de mora: o art. 1º-F da Lei federal nº 9.494/97, com a redação dada pela Lei federal nº 11.960/09, na parte em que estabelece a incidência de juros de mora nos débitos da Fazenda Pública com base no índice oficial de remuneração da caderneta de poupança, aplica-se às condenações impostas à Fazenda Pública, excepcionadas as condenações oriundas de relação jurídico-tributária.  Acórdão em conformidade com o entendimento em questão. Readequação do julgado. ",onformidade com o entendimento em questão. readequação do julgado. ,Procedente,0457657-83.2010.8.26.0000,TJSP
" TRIBUTÁRIOICMS –  Substituição para frente –  Fato gerador –  Base de cálculo menor –  Restituição –  Possibilidade:–  Na substituição tributária para frente, é devida a restituição do ICMS caso não realizado o fato gerador e quando realizado sobre base de cálculo menor que a presumida.ICMS –  Substituição para frente –  Fato gerador –  Base de cálculo menor –  Restituição –  Limitação –  Art. 66-B, § 3º, da Lei Estadual 6.374/89 –  Declaração de inconstitucionalidade –  Modulação –  Possibilidade:–  Embora declarada a inconstitucionalidade do § 3º do art. 66-B da Lei Estadual 6.374/89, os efeitos dessa declaração foram modulados nos moldes da modulação do Tema 201 da repercussão geral, i.e., a partir de 19.10.2016. ","–  restituição –  limitação –  art. 66-b, § 3º, da lei estadual 6.374/89 –  declaração de inconstitucionalidade –  modulação –  possibilidade:–  embora declarada a inconstitucionalidade do § 3º do art. 66-b da lei estadual 6.374/89, os efeitos dessa declaração foram modulados nos moldes da modulação do tema 201 da repercussão geral, i.e., a partir de 19.10.2016. ",Procedente,1017725-33.2020.8.26.0309,TJSP
" *CUMPRIMENTO DE SENTENÇA –  Devedor sem bens penhoráveis  –  Pretensão de conversão da tramitação física dos autos em digital - Possibilidade –  Faculdade da parte, enquanto vigente o Sistema Remoto de Trabalho ou o Sistema de Retorno Escalonado ao Trabalho Presencial, adotados em razão da pandemia provocada pelo Sars-Cov-2,  desde que atendidas as exigências do Comunicado CG 466/2020  –  Recurso provido, com observação* ","as do comunicado cg 466/2020  –  recurso provido, com observação* ",Procedente,2155971-12.2021.8.26.0000,TJSP
" EXECUÇÃO DE TÍTULO EXTRAJUDICIAL –  Exequente que pretende a expedição de ofício ao INSS para que informe se o executado possui algum vínculo empregatício ou se recebe benefício previdenciário ou assistencial –  Possibilidade –  Regra geral da impenhorabilidade do art. 833, IV do CPC/2015 que pode sofrer flexibilização, casuisticamente, quando a penhora não ameaçar a manutenção do  mínimo existencial - Entendimento fixado pelo C. STJ no EREsp 1.582.475-MG - Recurso provido. ",ecurso provido. ,Procedente,2160946-77.2021.8.26.0000,TJSP
" CONFLITO NEGATIVO DE JURISDIÇÃO. AÇÃO PENAL. CRIMES PREVISTOS NOS ARTIGOS 288, PARÁGRAFO ÚNICO, 155, §§ 1º, 4º, IV, E 6º, CP e 244-B DO ECA. IMPUTAÇÃO DE CRIME PERMANENTE. CONSUMAÇÃO EM MAIS DE UMA COMARCA. ART. 71 CPP. Auto de prisão em flagrante distribuído ao Juízo da 1ª Vara da Comarca de Casa Branca. Oferecida denúncia com pedido de redistribuição ao Juízo da Comarca de Vargem Grande do Sul, onde foi cometido o maior número de infrações. Não cabimento. Consumação de crimes permanentes no território de mais de uma Comarca. Art. 71, CPP. Prevenção definida pela conversão da prisão em flagrante em prisão preventiva. Inteligência do art. 83, CPP. Conflito conhecido. Competência do Juízo da 1ª Vara da Comarca de Casa Branca. ","da comarca de vargem grande do sul, onde foi cometido o maior número de infrações. não cabimento. consumação de crimes permanentes no território de mais de uma comarca. art. 71, cpp. prevenção definida pela conversão da prisão em flagrante em prisão preventiva. inteligência do art. 83, cpp. conflito conhecido. competência do juízo da 1ª vara da comarca de casa branca. ",Procedente,0021894-03.2021.8.26.0000,TJSP
" AGRAVO DE INSTRUMENTO. PLANO DE SAÚDE COLETIVO EMPRESARIAL. Insurgência contra decisão que deferiu a tutela de urgência para determinar que a ré se abstenha de exigir cumprimento de novo prazo de carência para autorizar os atendimentos cobertos pelo contrato firmado pela autora. Há controvérsia sobre a obrigação de cumprimento de carência contratual por parte dos funcionários da agravada, novos aderentes do plano de saúde coletivo empresarial. Contrato original não acostado pelas partes. Questão a ser dirimida no curso da demanda. Ausência de prova de situação de urgência ou emergência. Requisitos elencados no art. 300 do atual Código de Processo Civil, não configurados. Decisão parcialmente reformada.Recurso provido.  ",curso provido.  ,Procedente,2217012-77.2021.8.26.0000,TJSP
" NULIDADE -  IMPRECISÃO DA R. SENTENÇA QUANTO À EXTENSÃO DA PRESTAÇÃO A CARGO DA RÉ –  DESRESPEITO AO PARÁGRAFO ÚNICO DO ART. 492 DO CPC –  PROCESSO EM TERMOS PARA IMEDIATO JULGAMENTO (CPC, ART. 1.013, § 3º, INCISO II)RESPONSABILIDADE CIVIL - VÍCIOS CONSTRUTIVOS –  DESCRIÇÃO PORMENORIZADA DAS REFORMAS A SEREM FEITAS PELA CONSTRUTORA –  RELAÇÃO DE CAUSALIDADE SUFICIENTEMENTE ESTABELECIDA QUER COM RELAÇÃO AO EMPREGO DE MATERIAL DE BAIXA QUALIDADE, QUER QUANTO À MÁ EXECUÇÃO DA OBRA –  INSUFICIÊNCIA DAS CRÍTICAS FEITAS PELOS ASSISTENTES TÉCNICOS –  SE A PRETENSÃO ATINENTE À OBRIGAÇÃO DE FAZER FOI AMPLAMENTE ACOLHIDA E A DE CONDENAÇÃO EM DANOS MORAIS, AFASTADA, A DISTRIBUIÇÃO DOS ENCARGOS DE SUCUMBÊNCIA DEVE SER PROPORCIONAL - INTELIGÊNCIA DA REGRA DO ""CAPUT"" DO ART. 86 DO CPC –  SENTENÇA REFORMADA –  RECURSO PROVIDO  ",ecurso provido  ,Procedente,1009137-87.2016.8.26.0564,TJSP
" AÇÃO DECLARATÓRIA DE INEXIGIBILIDADE DE DÍVIDA –  DEMANDA CUMULADA COM PEDIDOS DE OBRIGAÇÃO DE FAZER E DE INDENIZAÇÃO –  RECONVENÇÃO COM PLEITO DE INDENIZAÇÃO DE DANOS MATERIAIS –  DISCUSSÃO EM TORNO DA LEGALIDADE DE BENEFÍCIO CONCEDIDO À AUTORA-RECONVINDA QUANDO DA RESCISÃO DE SEU CONTRATO DE TRABALHO –  JULGAMENTO ANTECIPADO DA LIDE IMPEDIU A RÉ DE DEMONSTRAR SUAS ALEGAÇÕES –  CERCEAMENTO DE DEFESA –  NULIDADE DA SENTENÇA –  RECURSO PROVIDO ",recurso provido ,Procedente,1126146-02.2019.8.26.0100,TJSP
" CERCEAMENTO DE DEFESA - RESPONSABILIDADE CIVIL - DEMANDA DE INDENIZAÇÃO DE DANOS DECORRENTES DE OMISSÃO DE MÉDICO –  ALEGAÇÃO DE FALTA DE NEXO CAUSAL ENTRE A SUPOSTA OMISSÃO E O ÓBITO DE RESCÉM NASCIDO –  JULGAMENTO NO ESTADO DA LIDE BASEADO EM PARECER TÉCNICO PRODUZIDO SEM CONTRADITÓRIO –  DESCABIMENTO –  NECESSIDADE DE ENSEJAR A PRODUÇÃO DE PROVAS –  CERCEAMENTO DE DEFESA CARACTERIZADO –  SENTENÇA ANULADA –  RECURSO PROVIDO ",recurso provido ,Procedente,1001992-66.2017.8.26.0136,TJSP
" INTERDIÇÃO –  DEMANDA PROMOVIDA EM FACE DE ADOLESCENTE QUE COMETERA ATOS INFRACIONAIS ENQUADRADOS COMO LATROCÍNIO E ESTUPRO MEDIANTE VIOLÊNCIA E GRAVE AMEAÇA –  PARECERES DE ASSISTENTE SOCIAL E PSICÓLOGA, BEM COMO LAUDO DE MÉDICO PSIQUIATRA DO IMESC DÃO CONTA DE QUE O RÉU PADECE DE TRANSTORNO DE PERSONALIDADE DISSOCIAL E TRANSTORNO AFETIVO BIPOLAR, MAS QUE TEM CAPACIDADE PARA GERIR SEU PATRIMÔNIO E PRATICAR ATOS DA VIDA CIVIL –  INTERNAÇÃO DESDE JUNHO DE 2014 INICIALMENTE NA FUNDAÇÃO CASA E MAIS TARDE EM ""UNIDADE EXPERIMENTAL DE SAÚDE –  UES"", ONDE ESTÁ ATÉ HOJE –  NECESSIDADE DE DESINSTITUCIONALIZAÇÃO MEDIANTE PLANO DE DESINTERNAÇÃO PARA ATENDIMENTO ADEQUADO EM SERVIÇO DE BASE COMUNITÁRIA -  RECURSOS PROVIDOS, COM DETERMINAÇÕES ","rviço de base comunitária -  recursos providos, com determinações ",Procedente,1001659-46.2017.8.26.0191,TJSP
