Summary,Text,Class,Identifier,Court
" PRESTAÇÃO DE SERVIÇOS - AÇÃO DE INEXIGIBILIDADE DE DÉBITO C/C COM REPETIÇÃO DE INDÉBITO EM DOBRO E INDENIZAÇÃO POR DANOS MORAIS –  Anúncio de compra e venda de bem móvel por meio de plataforma digital –  Insatisfação com a prestação de serviços –  Vendedor que solicita cancelamento do cadastro –  Orientação do prestador de serviços de como proceder para o efetivo cancelamento da conta e a devolução dos valores cobrados indevidamente –  Desídia e má prestação de serviços –  Não comprovação  –  (art. 373, I, do CPC) –  Ação parcialmente procedente –  Recurso desprovido, com observação. ","�o parcialmente procedente –  recurso desprovido, com observação. ",Parcial Procedente,1003794-39.2020.8.26.0704,TJSP
" APELAÇÃO CRIMINAL –  IMPORTUNAÇÃO SEXUAL –  RECURSO DA DEFESA PRETENDENDO A ABSOLVIÇÃO POR INSUFICIÊNCIA DE PROVAS –  IMPOSSIBILIDADE –  Não há que se falar em insuficiência de provas quando o conjunto probatório se revelou uníssono em demonstrar a materialidade e autoria do delito. RECURSO MINISTERIAL VISANDO À MAJORAÇÃO DA PENA-BASE –  ACOLHIMENTO –  Circunstâncias e consequências do delito de maior gravidade, justificando a exasperação da pena-base. Recurso Defensivo parcialmente provido, somente para afastar a circunstância agravante prevista no artigo 61, inciso II, alínea ""j"", do Código Penal, e para fixar o regime inicial aberto. Recurso do Ministério Público parcialmente provido, somente para majorar a pena-base. ","�rio público parcialmente provido, somente para majorar a pena-base. ",Parcial Procedente,1503905-02.2021.8.26.0228,TJSP
" APELAÇÃO - RECURSO ADESIVO - ADMISSIBILIDADE –  SUCUMBÊNCIA RECÍPROCA.COMPROMISSO  DE COMPRA E VENDA - RESCISÃO CONTRATUAL PELO CESSIONÁRIO –  INADIMPLÊNCIA DO COMPRADOR PELO PERÍODO DE 07 ANOS –  INOCORRÊNCIA DE ADIMPLEMENTO SUBSTANCIAL –  A SENTENÇA CONDENOU O CESSIONÁRIO NA DEVOLUÇÃO DE 90% DAS IMPORTÂNCIAS PAGAS –  IMPROCEDÊNCIA DO PEDIDO DEDUZIDO NA AÇÃO DE CONSIGNAÇÃO EM PAGAMENTO - O CESSIONÁRIO NÃO RESPONDE PELOS PAGAMENTOS EFETUADOS AO CEDENTE - MULTA CONTRATUAL INDEVIDA –  INEXISTÊNCIA DE PEDIDO CONTRAPOSTO OU RECONVENÇÃO -  REGULARIDADE DA NOTIFICAÇÃO - PRECEDENTE –  SUCUMBÊNCIA RECÍPROCA SENTENÇA MODIFICADA –  RECURSOS PROVIDOS EM PARTE. ",vidos em parte. ,Parcial Procedente,1002421-31.2017.8.26.0363,TJSP
" REEXAME NECESSÁRIO. Ação acidentária procedente.AUXÍLIO-ACIDENTE. Sequelas na mão esquerda. Acidente in itinere. Incapacidade laborativa parcial e permanente comprovada. Nexo de causalidade demonstrado. Laudo pericial contundente. Benefício devido.DATA DE INÍCIO DO BENEFÍCIO. Prévio gozo de auxílio-doença. Alta médica. Dia seguinte ao da indevida cessação administrativa. Artigo 86, § 2º, da Lei 8.213/91. Entendimento firmado pelo C. STJ, em julgamento dos REsps 1.729.555/SP e 1.786.736/SP, sob o rito dos recursos repetitivos (Tema 862).Aplicabilidade da suspensão do auxílio-acidente no período de gozo de benefício relacionado à mesma moléstia (artigo 104, §6º, do Decreto 3.048/99).ABONO ANUAL. Cabimento. Artigo 40 da Lei 8.213/91.RENDA MENSAL INICIAL. Observância dos mesmos índices previdenciários aplicados aos benefícios em manutenção.JUROS E CORREÇÃO MONETÁRIA. APLICABILIDADE DA LEI 11.960/09. Questão decidida pelo C. STF, no RE 870.947/SE (Tema 810 de repercussão geral), definindo o IPCA-E como índice de correção monetária das prestações em atraso e fixando os juros moratórios segundo o índice de remuneração da caderneta de poupança.A forma de cálculo do precatório é matéria de execução, não devendo ser apreciada na fase de conhecimento.HONORÁRIOS ADVOCATÍCIOS. Sendo a decisão concessiva do benefício ilíquida, a apuração da base de cálculo e do percentual da verba honorária ocorrerá na fase de execução. Artigo 85, § 4º, inciso II, do CPC/2015. Aplicação da Súmula 111/STJ. Questão submetida ao rito dos recursos repetitivos (Tema 1.105), sem determinação de suspensão dos processos. REEXAME NECESSÁRIO PARCIALMENTE PROVIDO.  ",mente provido.  ,Parcial Procedente,1053806-07.2019.8.26.0053,TJSP
" REEXAME NECESSÁRIO. Ação acidentária procedente.AUXÍLIO-ACIDENTE. Patologia no punho direito. Incapacidade laborativa parcial e permanente comprovada. Nexo de causalidade demonstrado. Laudo pericial contundente. Benefício devido. Conversão do auxílio-doença previdenciário em acidentário mantido.DATA DE INÍCIO DO BENEFÍCIO. Prévio gozo de auxílio-doença. Alta médica. Dia seguinte ao da indevida cessação administrativa. Artigo 86, § 2º, da Lei 8.213/91. Entendimento firmado pelo C. STJ, em julgamento dos REsps 1.729.555/SP e 1.786.736/SP, sob o rito dos recursos repetitivos (Tema 862).Aplicabilidade da suspensão do auxílio-acidente no período de gozo de benefício relacionado à mesma moléstia (artigo 104, §6º, do Decreto 3.048/99).ABONO ANUAL. Cabimento. Artigo 40 da Lei 8.213/91.RENDA MENSAL INICIAL. Observância dos mesmos índices previdenciários aplicados aos benefícios em manutenção.JUROS E CORREÇÃO MONETÁRIA. APLICABILIDADE DA LEI 11.960/09. Questão decidida pelo C. STF, no RE 870.947/SE (Tema 810 de repercussão geral), definindo o IPCA-E como índice de correção monetária das prestações em atraso e fixando os juros moratórios segundo o índice de remuneração da caderneta de poupança.A forma de cálculo do precatório é matéria de execução, não devendo ser apreciada na fase de conhecimento.HONORÁRIOS ADVOCATÍCIOS. Sendo a decisão concessiva do benefício ilíquida, a apuração da base de cálculo e do percentual da verba honorária ocorrerá na fase de execução. Artigo 85, § 4º, inciso II, do CPC/2015. Aplicação da Súmula 111/STJ. Questão submetida ao rito dos recursos repetitivos (Tema 1.105), sem determinação de suspensão dos processos. REEXAME NECESSÁRIO PARCIALMENTE PROVIDO.  ",mente provido.  ,Parcial Procedente,1012737-92.2019.8.26.0053,TJSP
" AGRAVO EM EXECUÇÃO. CÁLCULOS DE LIQUIDAÇÃO DE PENAS. ASSOCIAÇAO PARA O TRÁFICO. O crime previsto no art. 35 da Lei 11.343/06 não é considerado hediondo ou equiparado. Progressão de regime após o cumprimento de no mínimo 1/6 da pena, por força do art. 112 da LEP. Livramento condicional. Princípio da especialidade. Aplicação do requisito objetivo de 2/3 de cumprimento da pena, nos termos no parágrafo único do art. 44 da Lei de Drogas. AGRAVO PARCIALMENTE PROVIDO. ",lmente provido. ,Parcial Procedente,0007438-15.2021.8.26.0496,TJSP
" Agravo de instrumento –  Execução - Locação - Expedição de ofício para reserva de valor calculado pela agravada (exequente) - A agravante não teve oportunidade de se manifestar sobre esse cálculo - Imprescindível efetivo contraditório - Contudo, desnecessário o trânsito em julgado dos embargos à execução, pois o Agravo contra a inadmissão de Recurso Especial não tem efeito suspensivo - Dá-se parcial provimento ao recurso. ",al não tem efeito suspensivo - dá-se parcial provimento ao recurso. ,Parcial Procedente,2162995-28.2020.8.26.0000,TJSP
" LOCAÇÃO. AÇÃO DE DESPEJO C.C. COBRANÇA. Inadimplemento de aluguéis, taxa de condomínio e IPTU. Sentença de parcial procedência. Apelo da ré.1. Concessão dos benefícios da justiça gratuita à ré. Pedido não analisado em primeira instância. Comprovação de rendimentos e declaração de hipossuficiência assinada. Inexistência de indícios de que a requerida possua outras fontes de rendimentos ou usufrua de padrão de vida incompatível com a alegada condição de hipossuficiência. Justiça gratuita deferida à ré-apelante.2. Nulidade por cerceamento de defesa e ausência de audiência de conciliação. O juiz é o destinatário final das provas que servem à formação da sua convicção sobre a demanda. Poder-dever de indeferir diligências que entenda inúteis ou meramente protelatórias para o desfecho da causa. Inteligência do art. 370 do Código de Processo Civil. Audiência de conciliação. Desnecessidade de designação. Versando a lide sobre direitos disponíveis, é possível a transação entre as partes a qualquer tempo do processo. Ausência de prejuízo para as partes. Precedentes. Preliminares afastadas.3. Cumulação de multa moratória com multa compensatória. Impossibilidade. Multas com o mesmo fato gerador (mora). Bin in idem configurado. Precedentes. Multa compensatória afastada.4. Indenização por benfeitorias e fundo de comércio. Cláusula contratual com expressa renúncia às benfeitorias não autorizadas pela locadora por escrito. Ausência de comprovação de autorização escrita por parte da locadora para inserção das benfeitorias no imóvel. Art. 35 da Lei nº 8.245/91 e Súmula nº 335 do E. STJ. Precedentes. Indenização por benfeitorias indevida. Indenização por fundo de comércio. Pretensão deduzida apenas em sede de razões de apelação. Inovação recursal. Violação ao contraditório e ao duplo grau de jurisdição. Pedido do qual não se conhece.5. Honorários de sucumbência. Ré que restou vencida em maior parte da demanda. Ônus de sucumbência que deve ser suportado exclusivamente pela requerida. Precedentes.6. Recurso parcialmente provido.    ",nte provido.    ,Parcial Procedente,1128327-73.2019.8.26.0100,TJSP
" Apelação. Associação para fins de tráfico. Prova insuficiente. Ausência de comprovação de vínculo associativo. Tipo que exige vontade livre e consciente das partes em associarem-se com estabilidade. Situação dos autos que deve ser tomada por concurso de pessoas. Absolvição mantida. Tráfico ilícito de entorpecentes. Autoria e materialidade demonstradas. Validade da palavra dos policiais. Condenação correta; penas, porém, a merecer reparo. Redução das penas-base. Regime fechado mantido. Recurso ministerial não provido e apelos defensivos providos em parte. ",vidos em parte. ,Parcial Procedente,1502807-96.2019.8.26.0536,TJSP
" TRIBUTÁRIO –  AGRAVO DE INSTRUMENTO –  EXECUÇÃO FISCAL - MUNICÍPIO DE RIO GRANDE DA SERRA –  Decisão que determinou o prévio recolhimento de custas postais para a prática de ato citatório –  Recurso interposto pela municipalidade.DA DECISÃO DE AFETAÇÃO –  O C. Superior Tribunal de Justiça, nos termos do artigo 1.036 do Código de Processo Civil, determinou a afetação do REsp. nº 1.858.965/SP (Tema nº 1.054) para o fim de definir acerca da obrigatoriedade, ou não, de a Fazenda Pública, no âmbito das execuções fiscais, promover o adiantamento das custas relativas às despesas postais referentes ao ato citatório, à luz do artigo 39 da Lei Federal nº 6.830 de 1980 –  Suspensão em todo território nacional do andamento dos processos em que o prosseguimento da execução fiscal seja condicionado ao adiantamento das custas relativas às despesas postais para a realização de citação, sem prejuízo de que os magistrados continuem ordenando a citação para que o prazo prescricional seja interrompido.No caso dos autos, o d. Juízo a quo determinou o prévio recolhimento de custas postais para a prática de ato citatório –  Inexistência de pronunciamento judicial determinando o ato citatório –  Decisão que não se encontra em conformidade com o quanto decidido por aquela C. Corte Superior no bojo do REsp. nº 1.858.965/SP (Tema nº 1.054) –  Ato citatório que deve ser determinado com o fim de suspender o prazo prescricional, com a posterior suspensão do feito, nos exatos termos da determinação proferida pelo C. Superior Tribunal de Justiça.Decisão reformada –  Recurso parcialmente provido. ",lmente provido. ,Parcial Procedente,2184293-42.2021.8.26.0000,TJSP
" Contrato bancário. ação de cobrança. Crédito Renovação Funci –  renegociação de empréstimos.Documentos acostados aos autos que embasam a ação de cobrança. Os documentos juntados pelo autor comprovam a contratação feita pela ré, bem como o seu inadimplemento. Débito existente e devido. Gratuidade de justiça.O pedido referente à gratuidade da justiça comporta acolhimento, uma vez que a ré apresentou declaração de hipossuficiência e documentação que comprova ser merecedora do benefício da gratuidade.Apelação parcialmente provida. ",lmente provida. ,Parcial Procedente,1007901-48.2018.8.26.0009,TJSP
" AÇÃO ANULATÓRIA. TERMO DE CONFISSÃO DE DÍVIDA. EXTINÇÃO SEM RESOLUÇÃO DO MÉRITO EM RAZÃO DE LITISPENDÊNCIA EM RELAÇÃO AOS EMBARGOS DO DEVEDOR OPOSTOS NA EXECUÇÃO FUNDAMENTADA NO MESMO TÍTULO. AUSÊNCIA DE EXATA COINCIDÊNCIA DE PEDIDO E IDENTIDADE PARCIAL DAS CAUSAS DE PEDIR. SENTENÇA CASSADA PARA PROSSEGUIMENTO.O apelante admitiu a assinatura no Termo de Confissão de Dívida mas sustenta na petição inicial da ação anulatória que a sua manifestação de vontade foi captada para encobrir a prática de agiotagem e obtida ""...sob ameaça de morte, o que revela a coação e o dolo na formalização do documento..."". Se as causas de pedir desta ação anulatória e a dos embargos do devedor em paralelo repousam no título executivo extrajudicial (Termo de Confissão de Dívida), respeitada a convicção do r. Juízo de Direito a quo, aqui foi exposta pretensão não limitada na ação incidental desconstitutiva, pois recai em alegado vício de consentimento para assinatura do documento.Apelação provida em parte. ",ovida em parte. ,Parcial Procedente,1010320-02.2018.8.26.0604,TJSP
" APELAÇÃO. DESERÇÃO. NÃO OCORRÊNCIA.Não vinga a preliminar de deserção arguida em contrarrazões uma vez que ao apelante foi deferido o recolhimento das taxas judiciárias ao final do processo, sem que conste modificação em sede recursal. Não convence o argumento do apelado no sentido de que taxa judiciária difere de preparo, pois o art. 4º, inc. II da Lei Estadual nº 11.608/2003 é muito claro. Não há razão jurídica para diferenciar as situações.APELAÇÃO. INOVAÇÃO NO RECURSO E PRECLUSÃO DE PROVAS. MOTIVO DE FORÇA MAIOR DEMONSTRADO.As preliminares de inovação em sede recursal e de preclusão de provas também não procedem, diante do disposto no art. 1.014 do CPC. A justificativa apresentada pelo apelante é razoável diante da ampliação do quadro fático-jurídico-processual que assumiu a lide após a apelação: prática de agiotagem e ameaças de morte. Ficam aceitas as explicações do apelante pois, analisadas as razões e as contrarrazões com os documentos acrescidos, ainda não é possível confirmar, com segurança, a efetiva regularidade das relações jurídicas que vinculam as partes no campo do direito material, sua validade e eficácia. Necessária será a adequada instrução do processo.EXECUÇÃO POR TÍTULO EXTRAJUDICIAL. TERMO DE CONFISSÃO DE DÍVIDA. EMBARGOS DO DEVEDOR.Nos casos em que a demanda envolva a prática de usura por uma das partes envolvidas, o art. 3º da Medida Provisória nº 2.172-32/01, ainda vigente por força do que dispõe o art. 2º da EC nº 32, de 11/09/2001, permite a inversão do ônus da prova em favor do devedor, imputando ao credor ou beneficiário da obrigação o dever de comprovar a regularidade do negócio entabulado entre as partes, desde que os fatos alegados revelem verossimilhança. Com base nesse dispositivo, para que a parte devedora possa fazer jus ao benefício da inversão do ônus da prova deve apresentar indícios de que o negócio entabulado com o credor foi realizado mediante a prática de agiotagem. E, nesse sentido, a conclusão favorece ao apelante. Matéria preliminar rejeitada. Apelação provida em parte com anulação da r. sentença e inversão do ônus probatório para que o apelado prove a regularidade dos negócios jurídicos entabulados com o apelante. ","po do direito material, sua validade e eficácia. necessária será a adequada instrução do processo.execução por título extrajudicial. termo de confissão de dívida. embargos do devedor.nos casos em que a demanda envolva a prática de usura por uma das partes envolvidas, o art. 3º da medida provisória nº 2.172-32/01, ainda vigente por força do que dispõe o art. 2º da ec nº 32, de 11/09/2001, permite a inversão do ônus da prova em favor do devedor, imputando ao credor ou beneficiário da obrigação o dever de comprovar a regularidade do negócio entabulado entre as partes, desde que os fatos alegados revelem verossimilhança. com base nesse dispositivo, para que a parte devedora possa fazer jus ao benefício da inversão do ônus da prova deve apresentar indícios de que o negócio entabulado com o credor foi realizado mediante a prática de agiotagem. e, nesse sentido, a conclusão favorece ao apelante. matéria preliminar rejeitada. apelação provida em parte com anulação da r. sentença e inversão do ônus probatório para que o apelado prove a regularidade dos negócios jurídicos entabulados com o apelante. ",Parcial Procedente,1004610-35.2017.8.26.0604,TJSP
" VOTO Nº 34117EMBARGOS À EXECUÇÃO. Adiantamento ao contrato de câmbio (ACC).CERCEAMENTO DE DEFESA. Inocorrência. Prova pericial desnecessária. Questões de direito. Julgamento antecipado. Regularidade. Precedentes do C. STJ. Preliminar rejeitada.MÉRITO. Repetição dos termos deduzidos nos embargos, na mesma ordem, com as mesmas palavras e com os mesmos destaques. Falta de impugnação específica. Violação ao princípio da dialeticidade. Exegese do art. 1.010, inc. II e IV, do NCPC.HONORÁRIOS ADVOCATÍCIOS. Valor fixado em 5% sobre o valor da causa. Razoabilidade e proporcionalidade, considerado o trabalho realizado até a r. sentença. Grau recursal. Majoração. Inteligência do art. 85, § 11, do NCPC. Observação sobre a possibilidade de cumulação dos honorários advocatícios na execução e nos embargos de devedor, considerado o limite máximo previsto no art. 85, § 2º, do NCPC. Precedentes do C. STJ.Recurso conhecido em parte e, na parte conhecida, não provido, com observação. ","ecido em parte e, na parte conhecida, não provido, com observação. ",Parcial Procedente,1006952-70.2020.8.26.0068,TJSP
" AÇÃO DE OBRIGAÇÃO DE FAZER C.C. INDENIZAÇÃO POR DANOS MORAIS, PRECEDIDA DE TUTELA ANTECIPADA EM CARÁTER ANTECEDENTE, JULGADA PARCIALMENTE PROCEDENTE.RECURSO DA RÉ –  autora Mariana renegociou o contrato de financiamento estudantil com a ré Pravaler –  pagamento do acordo realizado –  negativa de matrícula da autora para o último semestre do curso de odontologia fornecido pela instituição de ensino ré –  alegação da ré de que a instituição financiadora não repassou os valores pagos pela autora e de que não tinha ingerência sobre o contrato de financiamento estudantil por ela contratado –  descabimento –  relação de consumo –  contratos coligados –  aluna sem condições financeiras de pagar o curso fornecido pela instituição de ensino, firma contrato de financiamento para tal fim –  cabe à aluna o pagamento das parcelas do financiamento e à financiadora efetuar os repasses de valores à instituição de ensino –  prestação de serviços educacionais pela ré Cruzeiro do Sul e a concessão do crédito pela financiadora Pravaler caracteriza a denominada ""cadeia de fornecedores"" –  responsabilidade solidária –  ausência de repasse dos valores pela financiadora não isenta a responsabilidade da instituição de ensino ré –  dano moral que se patenteou –  recusa de matrícula perpetrada pela instituição de ensino ré que teve pleno potencial para fazer surgir dano de ordem moral –  apontamento indevido do nome da autora nos cadastros de inadimplente –  dano in re ipsa –  sentença mantida neste tópico.RECURSOS DA AUTORA E DA RÉ –  VALOR DA INDENIZAÇÃO –  quantum fixado pela magistrada de 1º grau (R$ 2.000,00) que deve ser majorado não para o valor pleiteado pela autora, mas para R$ 10.000,00 (dez mil reais) –  valor adequado às circunstâncias do fato, proporcional ao dano e com observância ao caráter educativo-punitivo que compõe a indenização na hipótese –  sentença reformada nesta parte –  prejudicado o conhecimento do apelo da ré na parte em que pediu a diminuição da verba. Resultado: apelo da ré desprovido; recurso da autora parcialmente provido. ",lmente provido. ,Parcial Procedente,1008027-24.2020.8.26.0011,TJSP
" AGRAVO DE INSTRUMENTO. CUMPRIMENTO DE SENTENÇA. REEMBOLSO. DESPESAS MÉDICAS.Decisão agravada que determinou a devolução do valor levantado a maior pela parte exequente. Insurgência. Parcial acolhimento. Execução que abarca a cobertura das sessões realizadas nos meses de novembro e dezembro de 2019. Saldo restante do reembolso que perfazia o valor de R$ 3.000,00. Situação, contudo, em que o exequente levantou a importância de R$ 40.294,71. Restituição devida, abatendo-se os R$ 3.000,00.AGRAVO PARCIALMENTE PROVIDO. ",lmente provido. ,Parcial Procedente,2171498-04.2021.8.26.0000,TJSP
" AGRAVO DE INSTRUMENTO. AÇÃO DE GUARDA C.C. ALIMENTOS.Justiça gratuita. Possibilidade de deferimento do pedido. Impugnação, em resposta, marcada pela generalidade. Presunção de necessidade, ainda, resultante do encerramento da relação familiar. Encargo alimentar, em benefício da criança, estabelecido em 25% dos rendimentos e, em favor da agravante, no patamar de 4 salários-mínimos pelo período de 12 meses. Preservação. Valores, a princípio, inseridos na capacidade do alimentante. Natureza transitória, no que se refere ao cônjuge, acertada. Reanálise do período de exigência do pensionamento reservada ao mérito da ação. Desnecessidade, ainda, de anuência do alimentante para o pagamento da pensão à agravante. Guarda unilateral, outrossim, decidida posteriormente ao manejo do presente recurso. Inconformismo ao decidido, se o caso, que reclama recurso autônomo.AGRAVO PARCIALMENTE PROVIDO. ",lmente provido. ,Parcial Procedente,2122232-48.2021.8.26.0000,TJSP
" AGRAVO DE INSTRUMENTO. AÇÃO DE ALIMENTOS C.C. GUARDA.Encargo alimentar fixado em benefício da agravada em 04 salários-mínimos, e no equivalente a 25% dos rendimentos para o filho comum. Valores, a princípio, que não se mostram excessivos ou fora da capacidade do alimentante. Observância, ainda, do entendimento trazido no Agravo nº 2043788-98.2021.8.26.0000, de minha Relatoria. Demais matérias, ainda, decididas naquele recurso, com expressa observância aos elementos probatórios apresentados em ambos os recursos. Direito de visitas. Necessária definição da matéria pela instância de origem.AGRAVO PARCIALMENTE PROVIDO. ",lmente provido. ,Parcial Procedente,2149812-53.2021.8.26.0000,TJSP
" AÇÃO CIVIL PÚBLICA. Sentença que julgou extinto o feito, por ausência de interesse processual.I. Instituto de Promoção e Proteção de Direitos Humanos –  IPPDH - contra Google Brasil Internet LTDA. Alegação, pela associação-autora, de violação a direito à saúde de crianças com transtorno do espectro autista (TEA), em razão da divulgação, pela aplicação da internet YouTube, de vídeos que promovem a venda de substância tóxica conhecida como MMS (""Mineral Miracle Solution""), proibida pela ANVISA desde 2018, ainda comercializada como cura para diversas doenças e que vem causando enormes prejuízos à saúde, especialmente de crianças com TEA.II. Recurso pronto para julgamento. Desnecessária a análise do pedido de antecipação da tutela recursal. Matéria a ser regulada pelos efeitos próprios do julgamento em segunda instância.III. Preservada da extinção do feito, porém por ilegitimidade ativa da associação. Ausente a pertinência temática entre o objeto específico da ação e os fins institucionais do instituto, excessivamente genéricos. Referência vaga à ""proteção de grupos socialmente vulneráveis"" que não afasta o caráter demasiadamente amplo dos objetivos sociais da autora. Salvaguarda abstrata não só de amplo(s) grupo(s) de pessoas vulneráveis, mas de inúmeros interesses, bastante diversos. Previsão de fim institucional voltada à representação de ""vítimas de violações de direitos humanos e fundamentais nas relações jurídicas de qualquer espécie"". Ausência de representatividade adequada. Doutrina. Precedentes.IV. Afastamento, contudo, da condenação da apelante ao pagamento de custas e despesas processuais. Artigo 18 da Lei nº 7.347/85. Não constatado sequer indício de má-fé na propositura da ação. Ao revés, pela relevância e seriedade dos fundamentos de fato e de direito trazidos aos autos, não se descarta a possibilidade de que a própria associação-autora comunique o desfecho deste processo ao Ministério Público, para que a instituição tome as providências que entender cabíveis. APELO PARCIALMENTE PROVIDO. ",lmente provido. ,Parcial Procedente,1042384-54.2020.8.26.0100,TJSP
" AÇÃO DE RECONHECIMENTO E DISSOLUÇÃO DE UNIÃO ESTÁVEL C.C. PARTILHA DE BENS, GUARDA, REGULAMENTAÇÃO DE VISITAS E ALIMENTOS.I. Controvérsia acerca da data de início da união estável. Sentença que se pautou pela data de nascimento do filho comum. Circunstância, contudo, em que as partes lavraram escritura pública com declaração de união estável indicando a data de início como sendo 11 de dezembro de 2010. Documento dotado de fé pública, fazendo prova plena. Inteligência do art. 215 do Código Civil.II. Regime de convivência (entre o pai e o filho comum) fixado pelo juízo a quo, lastreado em laudo.  Pretensão de ampliação, com pernoite também às quintas-feiras. Não cabimento. Excessiva alternância de residência não seria, a princípio, adequada. Resguardado o melhor interesse do menor.III. Divergência do alimentante quanto à base de cálculo do encargo alimentar. Conceito de salário que engloba as verbas de caráter permanente. Exclusão, contudo, do PLR e das verbas rescisórias.IV. Pretensão de pagamento direto da mensalidade escolar, sob o fundamento da errática da administração da pensão por parte da genitora. Ausência de lastro probatório suficiente a corroborar as alegações do recorrente. Afastamento.V. Partilha de bens. Exclusão de terreno e valor de um veículo. Sentença, na questão, que excluiu da partilha os referidos bens (fls. 759). Reclamo, a respeito, infundado.VI. Verba honorária. Reconhecimento da sucumbência recíproca, fixada a honorária aos respectivos patronos em 10% sobre o valor da causa (R$-500.000,00). Excesso reconhecido, sem dizer, ainda, ser inestimável o proveio econômico obtido na demanda. Fixação, no caso, que ser realizada por equidade, nos termos do disposto no artigo 85, § 8º, do CPC. Honorária fixada em R$-10.000,00 para cada Patrono, observada a gratuidade.APELO PARCIALMENTE PROVIDO. ",lmente provido. ,Parcial Procedente,0004377-06.2014.8.26.0428,TJSP
" Ação anulatória de débito fiscal – A decisão invocada como precedente e que justifica a possibilidade do creditamento de empresa posteriormente considerada inidônea não garante direito absoluto às empresas. O direito está vinculado à boa fé, ligada à demonstração de terem sido tomadas as cautelas para uma boa operação mercantil, provada com a demonstração de que a operação foi real - As razões constantes na decisão atacada são, por si, suficientes a embasar o não acolhimento da insatisfação - As antecipações de tutela, aliás, são situações excepcionais. O normal é que a prestação jurisdicional se dê ao final do processo. Isso vale para as questões que demandam prova. Relativamente aos juros de mora ficam limitados à Selic. E à multa, fica reduzida, por ora ao menos, ao valor de 100% sobre o valor do suposto imposto devido – Recurso parcialmente provido. ",lmente provido. ,Parcial Procedente,2287532-96.2020.8.26.0000,TJSP
